Optimizer,Epoch,Learning Rate,Accuracy
SGD,1,0.0001,0.1451999992132187
SGD,2,0.0001,0.14710000157356262
SGD,3,0.0001,0.1492999941110611
SGD,4,0.0001,0.15549999475479126
SGD,5,0.0001,0.1657000035047531
SGD,6,0.0001,0.18129999935626984
SGD,7,0.0001,0.19750000536441803
SGD,8,0.0001,0.20970000326633453
SGD,9,0.0001,0.22100000083446503
SGD,10,0.0001,0.23280000686645508
SGD,11,0.0001,0.24310000240802765
SGD,12,0.0001,0.2540999948978424
SGD,13,0.0001,0.2630999982357025
SGD,14,0.0001,0.27469998598098755
SGD,15,0.0001,0.28610000014305115
SGD,16,0.0001,0.2962999939918518
SGD,17,0.0001,0.3059999942779541
SGD,18,0.0001,0.3179999887943268
SGD,19,0.0001,0.3269999921321869
SGD,20,0.0001,0.33559998869895935
SGD,21,0.0001,0.34549999237060547
SGD,22,0.0001,0.35600000619888306
SGD,23,0.0001,0.36489999294281006
SGD,24,0.0001,0.3702999949455261
SGD,25,0.0001,0.38019999861717224
SGD,26,0.0001,0.3874000012874603
SGD,27,0.0001,0.3970000147819519
SGD,28,0.0001,0.4018999934196472
SGD,29,0.0001,0.4097000062465668
SGD,30,0.0001,0.41510000824928284
SGD,31,0.0001,0.4212999939918518
SGD,32,0.0001,0.42250001430511475
SGD,33,0.0001,0.4278999865055084
SGD,34,0.0001,0.4293000102043152
SGD,35,0.0001,0.43369999527931213
SGD,36,0.0001,0.43810001015663147
SGD,37,0.0001,0.4447000026702881
SGD,38,0.0001,0.44600000977516174
SGD,39,0.0001,0.4528999924659729
SGD,40,0.0001,0.4560000002384186
SGD,41,0.0001,0.45910000801086426
SGD,42,0.0001,0.4611999988555908
SGD,43,0.0001,0.4648999869823456
SGD,44,0.0001,0.46790000796318054
SGD,45,0.0001,0.4708000123500824
SGD,46,0.0001,0.47530001401901245
SGD,47,0.0001,0.4796999990940094
SGD,48,0.0001,0.48240000009536743
SGD,49,0.0001,0.4851999878883362
SGD,50,0.0001,0.491100013256073
SGD,51,0.0001,0.49459999799728394
SGD,52,0.0001,0.501800000667572
SGD,53,0.0001,0.5056999921798706
SGD,54,0.0001,0.5065000057220459
SGD,55,0.0001,0.5088000297546387
SGD,56,0.0001,0.511900007724762
SGD,57,0.0001,0.5120999813079834
SGD,58,0.0001,0.5135999917984009
SGD,59,0.0001,0.5084999799728394
SGD,60,0.0001,0.5113999843597412
SGD,61,0.0001,0.5228000283241272
SGD,62,0.0001,0.524399995803833
SGD,63,0.0001,0.5275999903678894
SGD,64,0.0001,0.534600019454956
SGD,65,0.0001,0.5386000275611877
